H,S,V,Label
0,0,255,brown
16,229,139,brown
20,234,124,brown
21,223,112,brown
12,197,131,brown
0,0,255,brown
0,0,255,brown
19,194,117,brown
20,232,77,brown
0,0,255,brown
13,255,101,brown
11,244,116,brown
48,185,69,brown
48,185,69,brown
0,0,255,brown
3,255,12,black
16,216,13,black
173,255,8,black
15,170,30,black
144,238,15,black
133,94,19,black
0,255,7,black
22,182,21,black
0,0,255,black
138,184,18,black
140,45,17,black
11,255,20,black
2,255,89,red
12,231,106,red
7,255,87,red
0,0,255,red
0,255,255,red
0,0,255,red
5,253,155,red
0,0,255,red
0,0,255,red
0,0,255,red
21,170,171,brown
19,137,175,brown
22,150,95,brown
23,171,85,brown
21,162,124,brown
0,0,255,brown
0,0,255,brown
12,255,172,orange
11,246,174,orange
0,0,255,orange
7,255,190,orange
6,255,197,orange
0,0,255,orange
0,0,255,orange
12,237,184,orange
0,0,255,orange
0,0,255,orange
0,0,255,orange
0,0,255,orange
4,255,197,orange
0,0,255,orange
11,251,186,orange
11,248,69,brown
0,255,159,red
3,97,29,black
4,225,84,brown
133,236,94,violet
24,85,15,black
8,250,201,orange
1,255,104,red
6,221,76,brown
1,255,150,red
130,243,88,violet
4,243,88,brown
36,255,5,black
14,239,63,brown
0,241,144,red
30,251,198,yellow
4,200,46,brown
42,159,8,black
30,73,28,black
1,247,97,red
9,255,219,orange
8,255,205,orange
10,254,234,orange
129,245,75,violet
20,96,8,black
9,248,195,orange
9,255,171,orange
3,255,133,red
3,220,36,brown
30,251,212,yellow
7,255,219,orange
170,139,11,black
13,255,189,orange
11,220,80,brown
29,245,148,yellow
133,228,85,violet
3,255,141,red
173,93,11,black
2,234,146,red
3,255,44,brown
4,253,159,red
1,251,138,red
30,242,176,yellow
7,255,202,orange
142,174,66,violet
7,239,220,orange
0,249,162,red
12,255,198,orange
0,253,168,red
133,229,78,violet
19,255,255,orange
25,203,123,gold
27,166,211,beige
0,255,165,red
50,45,17,black
5,255,126,red
135,235,78,violet
136,226,78,violet
132,245,77,violet
1,255,145,red
13,194,83,brown
137,231,54,violet
165,170,3,black
12,226,78,brown
0,253,152,red
27,168,207,beige
1,252,181,red
10,253,228,orange
31,246,216,yellow
3,255,187,red
11,255,69,brown
138,255,45,violet
17,250,99,brown
43,60,30,black
33,255,163,yellow
8,251,197,orange
31,255,211,yellow
30,26,20,black
12,224,49,brown
12,224,58,brown
9,254,213,orange
1,250,158,red
136,221,74,violet
3,245,181,red
18,229,99,brown
7,250,194,orange
0,255,150,red
36,91,14,black
2,255,135,red
20,70,11,black
9,229,58,brown
1,255,147,red
55,32,48,black
1,252,150,red
56,93,22,black
130,207,53,violet
10,255,187,orange
