H,S,V,Label
9,255,226,orange
114,255,147,blue
0,250,157,red
11,246,88,brown
57,216,162,green
113,255,124,blue
15,255,90,brown
8,254,220,orange
143,168,123,violet
14,41,80,grey
29,179,219,beige
28,251,200,yellow
51,251,115,green
13,128,18,black
15,241,54,brown
51,223,112,green
10,213,104,brown
27,192,233,beige
10,255,214,orange
29,249,207,yellow
138,247,100,violet
8,255,187,orange
57,248,146,green
13,252,79,brown
27,217,216,beige
114,255,110,blue
138,230,61,violet
28,163,183,beige
58,237,144,green
95,78,59,grey
0,255,178,red
110,255,139,blue
101,56,78,grey
133,247,101,violet
52,243,146,green
10,255,225,orange
31,255,185,yellow
24,255,128,gold
9,253,225,orange
0,255,179,red
0,250,156,red
56,212,170,green
114,83,77,grey
11,252,81,brown
56,243,143,green
62,240,140,green
0,255,144,red
50,238,165,green
30,254,208,yellow
34,36,98,grey
9,253,217,orange
9,238,105,brown
29,255,211,yellow
138,252,76,violet
29,254,222,yellow
54,224,147,green
49,243,151,green
8,246,90,brown
27,138,220,beige
0,252,180,red
9,245,76,brown
0,255,163,red
152,133,67,violet
146,255,43,violet
11,181,24,black
118,255,99,blue
109,71,75,grey
23,174,114,gold
139,255,89,violet
47,233,148,green
57,251,139,green
0,255,189,red
24,175,187,beige
9,255,224,orange
10,253,228,orange
0,252,195,red
58,228,95,green
101,244,90,blue
137,255,89,violet
51,236,124,green
145,236,108,violet
0,255,187,red
53,233,150,green
10,255,86,brown
55,207,117,green
30,255,220,yellow
30,8,68,grey
32,35,103,grey
55,219,169,green
30,251,203,yellow
29,246,190,yellow
28,185,240,beige
29,254,213,yellow
136,252,80,violet
25,192,202,beige
113,241,109,blue
0,255,154,red
100,238,74,blue
106,246,112,blue
179,251,115,red
29,247,217,yellow
17,255,109,brown
179,255,169,red
83,128,8,black
10,252,97,brown
98,60,64,grey
10,255,78,brown
120,8,67,grey
7,241,72,brown
55,251,136,green
30,253,229,yellow
30,255,232,yellow
111,239,109,blue
139,242,97,violet
23,41,100,grey
54,221,165,green
21,98,34,black
0,255,149,red
30,251,195,yellow
9,255,177,orange
0,255,169,red
12,255,103,brown
106,253,119,blue
50,247,169,green
44,243,149,green
80,33,70,grey
10,255,99,brown
113,250,107,blue
30,254,222,yellow
23,239,158,gold
46,255,152,green
29,161,234,beige
8,254,200,orange
